granularity,period,transaction_count,amounts_by_asset
daily,2026-02-02,41,"{""TRX"": ""24.010020"", ""USDT"": ""27000""}"
daily,2026-02-03,29,"{""TRX"": ""16.000030"", ""USDT"": ""64000""}"
daily,2026-02-04,20,"{""TRX"": ""12.000022"", ""USDT"": ""15500""}"
daily,2026-02-05,1,"{""TRX"": ""0.66""}"
daily,2026-02-06,18,"{""TRX"": ""4.000035"", ""USDT"": ""46909""}"
daily,2026-02-07,22,"{""TRX"": ""12.000020"", ""USDT"": ""21000""}"
daily,2026-02-09,6,"{""TRX"": ""4.000006"", ""USDT"": ""1700""}"
daily,2026-02-10,37,"{""TRX"": ""1016.000044"", ""USDT"": ""62193""}"
daily,2026-02-11,15,"{""TRX"": ""0.000015""}"
daily,2026-02-12,10,"{""TRX"": ""4.000016"", ""USDT"": ""7610""}"
daily,2026-02-13,18,"{""TRX"": ""8.000028"", ""USDT"": ""8000""}"
daily,2026-02-14,10,"{""TRX"": ""4.000015"", ""USDT"": ""21150""}"
daily,2026-02-15,19,"{""TRX"": ""8.000119"", ""USDT"": ""9200""}"
daily,2026-02-16,12,"{""TRX"": ""4.000017"", ""USDT"": ""1050""}"
daily,2026-02-18,27,"{""TRX"": ""12.000020"", ""USDT"": ""28410""}"
daily,2026-02-20,33,"{""TRX"": ""16.000127"", ""USDT"": ""24128""}"
daily,2026-02-22,7,"{""TRX"": ""4.000010"", ""USDT"": ""4000""}"
daily,2026-02-24,15,"{""TRX"": ""8.000011"", ""USDT"": ""17322.985136""}"
daily,2026-02-25,31,"{""TRX"": ""16.000022"", ""USDT"": ""37930""}"
daily,2026-02-26,12,"{""TRX"": ""4.000025"", ""USDT"": ""15511""}"
daily,2026-02-27,34,"{""TRX"": ""20.000021"", ""USDT"": ""60964""}"
daily,2026-02-28,7,"{""TRX"": ""4.000010"", ""USDT"": ""2000""}"
daily,2026-03-01,6,"{""TRX"": ""5"", ""USDT"": ""100""}"
daily,2026-03-02,27,"{""TRX"": ""16.000016"", ""USDT"": ""34791""}"
daily,2026-03-03,11,"{""TRX"": ""4.000007"", ""USDT"": ""5940""}"
daily,2026-03-05,13,"{""TRX"": ""104.000016"", ""USDT"": ""1489""}"
daily,2026-03-06,38,"{""TRX"": ""115.655064"", ""USDT"": ""51210.051005""}"
daily,2026-03-07,6,"{""TRX"": ""4"", ""USDT"": ""5200""}"
daily,2026-03-08,15,"{""TRX"": ""4.000018"", ""USDT"": ""22571""}"
daily,2026-03-09,40,"{""TRX"": ""36.000046"", ""USDT"": ""24723""}"
daily,2026-03-10,12,"{""TRX"": ""8.000010"", ""USDT"": ""1800""}"
daily,2026-03-11,31,"{""TRX"": ""20.000028"", ""USDT"": ""31093""}"
daily,2026-03-12,6,"{""TRX"": ""0.000016"", ""USDT"": ""7137.5""}"
daily,2026-03-13,37,"{""TRX"": ""24.000031"", ""USDT"": ""38138""}"
daily,2026-03-14,2,"{""TRX"": ""0.010003""}"
daily,2026-03-16,20,"{""TRX"": ""150.138018"", ""USDT"": ""44000""}"
daily,2026-03-18,9,"{""TRX"": ""4.970010"", ""USDT"": ""6000""}"
daily,2026-03-19,4,"{""TRX"": ""0.000012"", ""USDT"": ""21700""}"
daily,2026-03-20,21,"{""TRX"": ""100.888899"", ""USDT"": ""21000""}"
daily,2026-03-21,7,"{""TRX"": ""4.030003"", ""USDT"": ""50""}"
daily,2026-03-23,8,"{""TRX"": ""4.000008"", ""USDT"": ""3362.3""}"
daily,2026-03-26,9,"{""TRX"": ""4.000010"", ""USDT"": ""4980""}"
daily,2026-03-27,6,"{""TRX"": ""4.000003"", ""USDT"": ""2790""}"
daily,2026-03-31,2,"{""TRX"": ""0.000005"", ""USDT"": ""15500""}"
daily,2026-04-01,24,"{""TRX"": ""1012.000028"", ""USDT"": ""15500""}"
daily,2026-04-04,7,"{""TRX"": ""0.000028"", ""USDT"": ""20740""}"
daily,2026-04-05,20,"{""TRX"": ""12.000021"", ""USDT"": ""18000""}"
daily,2026-04-06,6,"{""TRX"": ""0.000017"", ""USDT"": ""8350""}"
daily,2026-04-07,13,"{""TRX"": ""92.888916"", ""USDT"": ""2500""}"
daily,2026-04-08,10,"{""TRX"": ""4.001007"", ""USDT"": ""8500""}"
daily,2026-04-14,3,"{""TRX"": ""138.138006"", ""USDT"": ""5282""}"
daily,2026-04-16,15,"{""TRX"": ""8.000020"", ""USDT"": ""5300""}"
daily,2026-04-18,13,"{""TRX"": ""4.000022"", ""USDT"": ""21200""}"
daily,2026-04-19,4,"{""TRX"": ""0.000006"", ""USDT"": ""8415""}"
daily,2026-04-20,5,"{""TRX"": ""4"", ""USDT"": ""5000""}"
daily,2026-04-21,6,"{""TRX"": ""4"", ""USDT"": ""18550""}"
daily,2026-04-22,16,"{""TRX"": ""12"", ""USDT"": ""25280""}"
daily,2026-04-23,25,"{""TRX"": ""12.000029"", ""USDT"": ""18560""}"
daily,2026-04-24,22,"{""TRX"": ""12.000024"", ""USDT"": ""10900""}"
daily,2026-04-25,3,"{""TRX"": ""0.000006"", ""USDT"": ""8460""}"
daily,2026-04-27,16,"{""TRX"": ""5.000034"", ""USDT"": ""24100""}"
daily,2026-04-28,15,"{""TRX"": ""8.000014"", ""USDT"": ""14000""}"
daily,2026-04-29,9,"{""TRX"": ""4.000009"", ""USDT"": ""7786""}"
daily,2026-04-30,8,"{""TRX"": ""4.000016"", ""USDT"": ""293.25""}"
daily,2026-05-01,20,"{""TRX"": ""8.040030"", ""USDT"": ""21430""}"
daily,2026-05-02,15,"{""TRX"": ""4.100022"", ""USDT"": ""24890""}"
daily,2026-05-03,9,"{""TRX"": ""4.000008"", ""USDT"": ""1100""}"
daily,2026-05-04,12,"{""TRX"": ""4.100014"", ""USDT"": ""9000""}"
daily,2026-05-06,23,"{""TRX"": ""8.040039"", ""USDT"": ""33670""}"
daily,2026-05-07,12,"{""TRX"": ""4.000026"", ""USDT"": ""20050""}"
daily,2026-05-08,15,"{""TRX"": ""8.040018"", ""USDT"": ""12000""}"
daily,2026-05-09,3,"{""TRX"": ""8.888895"", ""USDT"": ""4794""}"
daily,2026-05-10,9,"{""TRX"": ""4.040009"", ""USDT"": ""2000""}"
daily,2026-05-11,17,"{""TRX"": ""8.040012"", ""USDT"": ""18900""}"
daily,2026-05-12,20,"{""TRX"": ""8.000023"", ""USDT"": ""13500""}"
daily,2026-05-14,28,"{""TRX"": ""239.066913"", ""USDT"": ""29100""}"
daily,2026-05-15,4,"{""TRX"": ""0.000010"", ""USDT"": ""7000""}"
daily,2026-05-16,20,"{""TRX"": ""8.040024"", ""USDT"": ""16850""}"
daily,2026-05-17,6,"{""TRX"": ""715.711"", ""USDT"": ""1000""}"
daily,2026-05-18,9,"{""TRX"": ""4.000009"", ""USDT"": ""5000""}"
daily,2026-05-19,1,"{""TRX"": ""1.111111""}"
daily,2026-05-20,29,"{""TRX"": ""727.711023"", ""USDT"": ""27340""}"
daily,2026-05-22,22,"{""TRX"": ""12.000026"", ""USDT"": ""26000""}"
daily,2026-05-24,6,"{""TRX"": ""0.000015"", ""USDT"": ""13000""}"
daily,2026-05-25,16,"{""TRX"": ""4452.444458"", ""USDT"": ""15050""}"
daily,2026-05-26,14,"{""TRX"": ""8.000025"", ""USDT"": ""8000""}"
daily,2026-05-27,12,"{""TRX"": ""4.000020"", ""USDT"": ""3500""}"
daily,2026-05-28,20,"{""TRX"": ""8.000024"", ""USDT"": ""24400""}"
daily,2026-05-29,4,"{""TRX"": ""0.000009"", ""USDT"": ""8430""}"
daily,2026-05-30,24,"{""TRX"": ""12.000035"", ""USDT"": ""10000""}"
daily,2026-05-31,18,"{""TRX"": ""9.000028"", ""USDT"": ""19260""}"
daily,2026-06-02,28,"{""TRX"": ""12.000031"", ""USDT"": ""36000""}"
daily,2026-06-03,13,"{""TRX"": ""4.000031"", ""USDT"": ""13430""}"
daily,2026-06-04,11,"{""TRX"": ""4.000009"", ""USDT"": ""12115""}"
daily,2026-06-05,13,"{""TRX"": ""715.711016"", ""USDT"": ""8050""}"
daily,2026-06-06,24,"{""TRX"": ""721.933252"", ""USDT"": ""17038""}"
daily,2026-06-07,14,"{""TRX"": ""4.000030"", ""USDT"": ""12700""}"
daily,2026-06-08,3,"{""TRX"": ""0.000012"", ""USDT"": ""9000""}"
daily,2026-06-09,47,"{""TRX"": ""732.711051"", ""USDT"": ""40306.5""}"
daily,2026-06-10,9,"{""TRX"": ""4.040009"", ""USDT"": ""949""}"
daily,2026-06-12,4,"{""TRX"": ""0.000015"", ""USDT"": ""668""}"
daily,2026-06-13,44,"{""TRX"": ""16.000048"", ""USDT"": ""39932""}"
daily,2026-06-15,9,"{""TRX"": ""4.000013"", ""USDT"": ""7500""}"
daily,2026-06-16,2,"{""TRX"": ""0.000001"", ""USDT"": ""87""}"
daily,2026-06-17,1,"{""USDT"": ""10""}"
daily,2026-06-18,23,"{""TRX"": ""14.666700"", ""USDT"": ""32850""}"
daily,2026-06-19,14,"{""TRX"": ""4.000031"", ""USDT"": ""1060""}"
daily,2026-06-21,6,"{""TRX"": ""0.000017"", ""USDT"": ""15650""}"
daily,2026-06-22,31,"{""TRX"": ""16.000026"", ""USDT"": ""20304""}"
daily,2026-06-24,2,"{""TRX"": ""0.000001"", ""USDT"": ""15000""}"
daily,2026-06-25,15,"{""TRX"": ""4448.444466"", ""USDT"": ""8400""}"
daily,2026-06-26,8,"{""TRX"": ""4.000012"", ""USDT"": ""4500""}"
daily,2026-06-27,9,"{""TRX"": ""0.000027"", ""USDT"": ""13395""}"
daily,2026-06-28,22,"{""TRX"": ""8.000034"", ""USDT"": ""13000""}"
daily,2026-06-29,6,"{""TRX"": ""4.000004"", ""USDT"": ""2000""}"
daily,2026-06-30,12,"{""TRX"": ""142.138013"", ""USDT"": ""4500""}"
daily,2026-07-01,3,"{""TRX"": ""0.000003"", ""USDT"": ""22640""}"
daily,2026-07-02,1,"{""USDT"": ""5""}"
daily,2026-07-03,12,"{""TRX"": ""4.000016"", ""USDT"": ""11200""}"
daily,2026-07-04,17,"{""TRX"": ""8.000032"", ""USDT"": ""2050""}"
daily,2026-07-05,28,"{""TRX"": ""12.000046"", ""USDT"": ""13500""}"
daily,2026-07-06,17,"{""TRX"": ""4.000043"", ""USDT"": ""18644""}"
daily,2026-07-07,2,"{""TRX"": ""0.000005"", ""USDT"": ""25000""}"
daily,2026-07-08,21,"{""TRX"": ""719.000017"", ""USDT"": ""13000""}"
daily,2026-07-09,17,"{""TRX"": ""8.000018"", ""USDT"": ""18000""}"
daily,2026-07-10,11,"{""TRX"": ""4.000009"", ""USDT"": ""15000""}"
daily,2026-07-11,22,"{""TRX"": ""8.000024"", ""USDT"": ""34500""}"
daily,2026-07-13,14,"{""TRX"": ""11.110019"", ""USDT"": ""4000""}"
daily,2026-07-14,3,"{""TRX"": ""0.000011"", ""USDT"": ""10000""}"
daily,2026-07-15,14,"{""TRX"": ""8.000018"", ""USDT"": ""3500""}"
daily,2026-07-16,15,"{""TRX"": ""16.888030"", ""USDT"": ""14000""}"
daily,2026-07-17,9,"{""TRX"": ""4.000013"", ""USDT"": ""13500""}"
daily,2026-07-18,3,"{""TRX"": ""0.000009"", ""USDT"": ""2000""}"
daily,2026-07-19,21,"{""TRX"": ""896.000024"", ""USDT"": ""14560""}"
daily,2026-07-21,14,"{""TRX"": ""4.000019"", ""USDT"": ""16200""}"
daily,2026-07-22,4,"{""TRX"": ""0.040004"", ""USDT"": ""9316""}"
daily,2026-07-23,4,"{""TRX"": ""0.000008"", ""USDT"": ""2000""}"
daily,2026-07-24,14,"{""TRX"": ""4455.554450"", ""USDT"": ""6505""}"
daily,2026-07-25,26,"{""TRX"": ""108.040033"", ""USDT"": ""23040""}"
daily,2026-07-29,24,"{""TRX"": ""12.000032"", ""USDT"": ""23000""}"
daily,2026-07-30,1,"{""TRX"": ""0.04""}"
daily,2026-07-31,38,"{""TRX"": ""1618.110028"", ""USDT"": ""57369""}"
daily,2026-08-01,7,"{""TRX"": ""0.000021"", ""USDT"": ""11196""}"
daily,2026-08-02,21,"{""TRX"": ""722.110036"", ""USDT"": ""8848""}"
daily,2026-08-03,25,"{""TRX"": ""8.000035"", ""USDT"": ""6013""}"
daily,2026-08-04,1,"{""TRX"": ""0.04""}"
monthly,2026-01,339,"{""0597 COM"": ""0.000097"", ""TRX"": ""292.110247"", ""USDT"": ""364861""}"
monthly,2026-02,424,"{""TRX"": ""1200.670633"", ""USDT"": ""475577.985136""}"
monthly,2026-03,330,"{""TRX"": ""612.692223"", ""USDT"": ""343574.851005""}"
monthly,2026-04,240,"{""TRX"": ""1336.028203"", ""USDT"": ""246716.25""}"
monthly,2026-05,388,"{""TRX"": ""6270.373826"", ""USDT"": ""375264""}"
monthly,2026-06,370,"{""TRX"": ""6859.644849"", ""USDT"": ""328444.5""}"
monthly,2026-07,355,"{""TRX"": ""7900.782911"", ""USDT"": ""372529""}"
monthly,2026-08,54,"{""TRX"": ""730.150092"", ""USDT"": ""26057""}"
