address,incoming_count,outgoing_count,incoming_amount_by_asset,outgoing_amount_by_asset,first_seen,last_seen,interaction_count,direction
TFovcjKoCWX3ox3YyDRSqqXCeAFSfV4Z1R,5,0,"{""TRX"": ""0.000026""}",{},2026-02-07T13:13:03+00:00,2026-05-11T11:15:54+00:00,5,incoming
TGfxmZiah1ER3o7E9F76kAsnPNgQ5afNMJ,5,0,"{""TRX"": ""0.000023""}",{},2026-03-09T04:04:27+00:00,2026-08-02T09:56:42+00:00,5,incoming
TH7pTHrhD5zHqACKg5Z5uAfDtF2YYxFVnA,5,0,"{""TRX"": ""0.000022""}",{},2026-01-16T09:15:12+00:00,2026-03-23T12:43:00+00:00,5,incoming
TH8Gw8GSeVdhVPfiAf4UStmGeA1iMDDoV8,5,0,"{""TRX"": ""0.000030""}",{},2026-02-04T15:17:30+00:00,2026-06-09T08:54:24+00:00,5,incoming
THT4JbdKWJ2tbQ6PhFARANphVgLvGhQZzv,5,0,"{""TRX"": ""0.000024""}",{},2026-03-31T15:07:18+00:00,2026-07-17T14:50:12+00:00,5,incoming
TJkSjYjpwkKNZFmU2DxkBuuRx4uyH1zyms,0,5,{},"{""USDT"": ""804""}",2026-01-04T12:49:33+00:00,2026-06-19T12:06:18+00:00,5,outgoing
TJu86NNgiQ3fXe73dEkFmALM59NAXwQZ1R,5,0,"{""TRX"": ""0.000031""}",{},2026-02-02T13:05:27+00:00,2026-05-16T12:27:33+00:00,5,incoming
TRPtGzMeahvzvpjsz4NfLSqgGfgWoxYLAS,5,0,"{""TRX"": ""0.000022""}",{},2026-01-06T13:58:12+00:00,2026-01-18T10:47:54+00:00,5,incoming
TT31VtHNv4Yz3QDjNHfXRbsfP6kecMk4FV,5,0,"{""TRX"": ""0.000021""}",{},2026-01-23T09:46:06+00:00,2026-07-06T11:42:48+00:00,5,incoming
TVBKbUWvGwZjMcpzATDNenzTugQK4PGspQ,5,0,"{""TRX"": ""0.000024""}",{},2026-03-06T15:00:39+00:00,2026-06-27T14:09:24+00:00,5,incoming
TA3yggVs3GhsNPLzsZBzazAXodAwMnNjNP,4,0,"{""TRX"": ""0.000025""}",{},2026-03-13T14:54:27+00:00,2026-06-02T14:19:09+00:00,4,incoming
TB1GVr9maDxnazpkfZXzGsC9tHqZ1aBZ1R,4,0,"{""TRX"": ""0.000019""}",{},2026-04-25T13:42:30+00:00,2026-05-07T15:02:27+00:00,4,incoming
TBm8RenC2axhWQHzdh1v9uU8uuWDP3UnCn,4,0,"{""TRX"": ""0.000016""}",{},2026-04-07T08:09:57+00:00,2026-07-21T15:31:39+00:00,4,incoming
TDBfhDWuZWzrUjTZxwhKzVjPP7ZEAfYZ1R,4,0,"{""TRX"": ""0.000019""}",{},2026-02-03T12:29:21+00:00,2026-05-06T08:21:12+00:00,4,incoming
TDLFj1zm9aXCqNW4uw4vVZJoKs4uhxAmpA,4,0,"{""TRX"": ""0.000017""}",{},2026-01-24T03:24:27+00:00,2026-06-22T06:39:51+00:00,4,incoming
TFL779P8HnGsgpphKqTnHq9dKEA93R1Frv,4,0,"{""TRX"": ""0.000021""}",{},2026-01-13T14:20:33+00:00,2026-04-08T15:32:39+00:00,4,incoming
TGBJw47rQGNEGxorV5BffNoEoPGjdnXbRz,4,0,"{""TRX"": ""0.000016""}",{},2026-05-12T10:55:45+00:00,2026-06-09T08:50:15+00:00,4,incoming
TJQrTkFtpL2h4hKnAhwPYWYRBymRBR61Zt,4,0,"{""TRX"": ""0.000022""}",{},2026-06-03T10:52:18+00:00,2026-06-15T05:14:27+00:00,4,incoming
TLM2kKfdX9UF2vHSdWTD1Ghzs5ynoZFNMJ,4,0,"{""TRX"": ""0.000014""}",{},2026-01-25T05:01:42+00:00,2026-03-11T14:36:51+00:00,4,incoming
TN2GHnaCDe49uiDLBzpp2cgc7j8s1XyWHm,4,0,"{""USDT"": ""666""}",{},2026-01-05T17:07:30+00:00,2026-01-06T17:19:27+00:00,4,incoming
TNqDe6FkdNfEq64aof7YsctP3HXqX3teWd,4,0,"{""TRX"": ""0.000020""}",{},2026-01-20T13:38:12+00:00,2026-06-15T05:11:12+00:00,4,incoming
TPzPgaDDn6TE6S6HMUPAPp9rRoWWgLBVnA,4,0,"{""TRX"": ""0.000015""}",{},2026-02-24T16:05:03+00:00,2026-03-27T12:31:57+00:00,4,incoming
TUt2aomrkn4xygNPC8MfcnEojEvdjUsSjJ,2,2,"{""TRX"": ""91.655011"", ""USDT"": ""1""}","{""TRX"": ""100"", ""USDT"": ""1""}",2026-03-05T11:05:36+00:00,2026-03-06T04:24:48+00:00,4,unknown
TVK4xGuVDQHqXk1CtRcJwdTTy7uwzauw6Q,0,4,{},"{""USDT"": ""11500""}",2026-05-18T09:43:36+00:00,2026-07-31T09:46:36+00:00,4,outgoing
TWJB1GCiGXC8FnygMs33HEkbUmmeMqzuKZ,0,4,{},"{""USDT"": ""12900""}",2026-07-04T10:39:12+00:00,2026-07-29T08:01:15+00:00,4,outgoing
TX9CRcDqNj479FHrYB45tZkCvba36yvYsR,4,0,"{""TRX"": ""0.000014""}",{},2026-02-06T08:30:12+00:00,2026-07-23T12:20:21+00:00,4,incoming
TXwMn2LW6SQx4RdtPrrLVQ1zoWS9Av5YaZ,4,0,"{""TRX"": ""0.000020""}",{},2026-01-20T13:42:30+00:00,2026-02-13T14:02:57+00:00,4,incoming
TA5SegsRuknmCM2LYqoY8tib1hmKeSMLah,3,0,"{""TRX"": ""0.000010""}",{},2026-02-20T04:59:30+00:00,2026-04-16T13:46:33+00:00,3,incoming
TBAcuczuFRj67uCeRfUTJrEtCMkFH3J4FV,3,0,"{""TRX"": ""0.000006""}",{},2026-06-18T07:44:21+00:00,2026-07-06T11:43:36+00:00,3,incoming
TBfvwvYsuLtEGh9GMnMN4jyx4nwy3d1SjJ,3,0,"{""TRX"": ""0.000016""}",{},2026-03-05T11:07:45+00:00,2026-03-06T04:25:09+00:00,3,incoming
TBkVAvqp9oSnpt1nAWb6Jd52DVJT5k7oV8,3,0,"{""TRX"": ""0.000015""}",{},2026-02-22T05:00:54+00:00,2026-05-26T10:18:33+00:00,3,incoming
TDsRuMT7uHhVBggHc23MdWXs2UxV6Bx97N,0,3,{},"{""USDT"": ""27000""}",2026-06-25T04:37:27+00:00,2026-07-10T17:24:36+00:00,3,outgoing
TETarpQ43KFPqu6U4KNAma5AZFoLtfCFrv,3,0,"{""TRX"": ""0.000012""}",{},2026-01-20T13:41:30+00:00,2026-03-18T12:27:33+00:00,3,incoming
TEqWrAePADnqEaRJGv2EJWpwqQZ2QrEZzv,3,0,"{""TRX"": ""0.000017""}",{},2026-06-27T14:14:51+00:00,2026-07-21T14:44:21+00:00,3,incoming
TEvRZvoWPojaEkD7d2Bt8ffaqwFB3P1bRz,3,0,"{""TRX"": ""0.000016""}",{},2026-06-28T06:43:27+00:00,2026-08-02T09:57:24+00:00,3,incoming
TFAeCS9RBvz5mFkJtrPf1poSKJRRLp3bRz,3,0,"{""TRX"": ""0.000006""}",{},2026-05-31T14:05:06+00:00,2026-06-22T06:39:18+00:00,3,incoming
TFnJrcJ1fsw5Eq26fvtBUjm5JhBPJhhUa3,0,3,{},"{""USDT"": ""2112""}",2026-06-10T10:57:33+00:00,2026-07-05T10:24:33+00:00,3,outgoing
TFsRDRH991m1awnWt7RbA6p7p7buvtWYaZ,3,0,"{""TRX"": ""0.000006""}",{},2026-01-24T03:17:42+00:00,2026-03-09T04:05:51+00:00,3,incoming
TJUnHgpWaJ9FH8QwfkCAbkXhYHppKytbRz,3,0,"{""TRX"": ""0.000018""}",{},2026-05-31T14:06:48+00:00,2026-07-19T10:02:48+00:00,3,incoming
TJkZsDeMWxNfGQJ8sSsvNUGFU6ckEZwxh4,3,0,"{""TRX"": ""0.000013""}",{},2026-06-28T06:42:27+00:00,2026-08-03T08:12:27+00:00,3,incoming
TJyCB9cheQU63G3KrSBf46aeUv5XRCRspQ,3,0,"{""TRX"": ""0.000006""}",{},2026-06-02T14:15:54+00:00,2026-06-27T14:08:06+00:00,3,incoming
TLukvAwqmShUp5pykHbPvxqtkTh9mCwZzv,3,0,"{""TRX"": ""0.000006""}",{},2026-05-15T15:50:54+00:00,2026-07-17T14:48:24+00:00,3,incoming
TMV8gL5ZwphpAvjtWWdvLHsiM4pNa54ENz,3,0,"{""USDT"": ""7600""}",{},2026-01-16T16:22:57+00:00,2026-03-26T04:27:00+00:00,3,incoming
TNTXXxXByhTQEkX5rSw3LSFZhwGZRS6Frv,3,0,"{""TRX"": ""0.000014""}",{},2026-01-20T13:39:54+00:00,2026-04-05T11:54:48+00:00,3,incoming
TNgXJXFewMbuvj7gkH5HBxfprxmYfonLAS,3,0,"{""TRX"": ""0.000023""}",{},2026-01-06T13:58:39+00:00,2026-01-16T10:53:36+00:00,3,incoming
TP5eDxPUWziNdtace4DNALTzxLYUCy4VKa,3,0,"{""TRX"": ""0.000006""}",{},2026-02-13T14:02:48+00:00,2026-03-06T15:23:54+00:00,3,incoming
TPkzPUXGQyhiFEDAmA8oiJt6tRhkjh2LAS,3,0,"{""TRX"": ""0.000007""}",{},2026-01-08T15:10:57+00:00,2026-01-18T10:47:48+00:00,3,incoming
TPvFZS7fLYq9wsPWqiWTjKPPrpQ19HbYsR,3,0,"{""TRX"": ""0.000007""}",{},2026-05-29T15:22:24+00:00,2026-07-25T14:44:57+00:00,3,incoming
TQ4NzRNHVaQgJAab5r9Kb1E2TVqAEQreQK,0,3,{},"{""USDT"": ""14500""}",2026-04-20T15:14:54+00:00,2026-04-22T04:53:21+00:00,3,outgoing
TRrjLspxWwUinwJeZxPEJC5BBuqGsa14FV,3,0,"{""TRX"": ""0.000014""}",{},2026-01-10T11:56:48+00:00,2026-07-06T11:43:45+00:00,3,incoming
TSadSiXLxDTgbMphDrwwSYnwGPhjJNKYsR,3,0,"{""TRX"": ""0.000012""}",{},2026-02-26T10:41:48+00:00,2026-05-02T11:15:45+00:00,3,incoming
TT6MER5Q37HHkjBPDfaazZiwDXuX6q1jNP,3,0,"{""TRX"": ""0.000009""}",{},2026-03-11T14:04:15+00:00,2026-06-13T13:04:36+00:00,3,incoming
TTkZA3qRj6qVocdwvxVsTiKNie6uCZ5kNe,3,0,"{""TRX"": ""0.000016""}",{},2026-02-10T13:16:06+00:00,2026-02-14T17:16:03+00:00,3,incoming
TVoYizrJQEoBKZXGbgpoyxPw8p1y4jpYaZ,3,0,"{""TRX"": ""0.000021""}",{},2026-01-06T12:09:03+00:00,2026-03-11T14:33:54+00:00,3,incoming
TWVJAthhkJMf1Pfx5BqzyDC6EcqSL3XYsR,3,0,"{""TRX"": ""0.000012""}",{},2026-02-06T08:29:54+00:00,2026-04-18T10:36:42+00:00,3,incoming
TWXKG3sWWNEW7uZDsdzUJXVBrJqBKquZ1R,3,0,"{""TRX"": ""0.000016""}",{},2026-02-02T13:06:18+00:00,2026-05-07T15:03:21+00:00,3,incoming
TXaZAjdudxZy28BzZ3dCRheqJxknmUoxV8,3,0,"{""TRX"": ""0.000006""}",{},2026-01-24T03:19:09+00:00,2026-03-09T04:05:09+00:00,3,incoming
TY5Bu3zhwjwsCge2dWR3223S9mh36qFYaZ,3,0,"{""TRX"": ""0.000017""}",{},2026-01-20T13:41:06+00:00,2026-04-16T13:44:42+00:00,3,incoming
TY6swtFRGCnpMbPD5JTUeWGdVS6ryF4Lah,3,0,"{""TRX"": ""0.000011""}",{},2026-02-18T13:27:06+00:00,2026-05-01T10:18:21+00:00,3,incoming
TY9Q94MCTcNHvq6oTxjq8zYdPZyKDookNe,0,3,{},"{""USDT"": ""18500""}",2026-02-07T13:07:54+00:00,2026-02-14T17:14:57+00:00,3,outgoing
TY9d6u48bshECfbt2A4zxCmmiLSKfRbmpA,3,0,"{""TRX"": ""0.000017""}",{},2026-02-27T06:48:54+00:00,2026-05-08T08:47:51+00:00,3,incoming
TYztuC4CQoCGNcmDLkrSsLd1mwoy6YEimf,0,3,{},"{""USDT"": ""10400""}",2026-04-28T08:01:09+00:00,2026-07-11T09:15:09+00:00,3,outgoing
TZ1nGVme8JCU9xhX8iqi3ibMnkk12c1YaZ,3,0,"{""TRX"": ""0.000016""}",{},2026-01-06T12:07:27+00:00,2026-03-11T14:32:54+00:00,3,incoming
TADDXy18DWcJiT9o7BDEsoH5WfQ2AECNMJ,2,0,"{""TRX"": ""0.000009""}",{},2026-05-07T12:44:12+00:00,2026-05-22T14:04:51+00:00,2,incoming
TAG34rBNHmYQGMPLqqLYVzwa3vmpKPiWid,0,2,{},"{""USDT"": ""5500""}",2026-07-25T07:15:45+00:00,2026-07-31T11:55:42+00:00,2,outgoing
TBHbdf8cmVKZ73TosnzR6e8JrxpJD91NMJ,2,0,"{""TRX"": ""0.000005""}",{},2026-02-25T13:59:24+00:00,2026-04-05T11:54:00+00:00,2,incoming
TBgu19VK4nQpKsMhEQ3EYCtwfXBbLLZnCn,2,0,"{""TRX"": ""0.000012""}",{},2026-05-20T13:48:03+00:00,2026-07-13T07:21:39+00:00,2,incoming
TCETwsANVDgCSfdhkxPQuDp5DL46QWsCUk,2,0,"{""USDT"": ""5560""}",{},2026-06-30T15:50:21+00:00,2026-07-19T14:42:06+00:00,2,incoming
TEC8vfFgPGLDcrLAWn9MSepj1pjvi3YnCn,2,0,"{""TRX"": ""0.000004""}",{},2026-07-11T09:17:15+00:00,2026-07-13T07:20:24+00:00,2,incoming
TEXckR6k5TA8Ek1xXpvofon23w9DNoFNMJ,2,0,"{""TRX"": ""0.000009""}",{},2026-05-01T10:18:54+00:00,2026-05-18T09:46:21+00:00,2,incoming
TEeDatfHoQpMuosApypU3BUSU2ePN1sxh4,2,0,"{""TRX"": ""0.000007""}",{},2026-06-28T06:40:21+00:00,2026-08-03T08:10:27+00:00,2,incoming
TFck2MLNQLwTvdGJ8HQZPWpu1W3dGCpxpA,2,0,"{""TRX"": ""0.000004""}",{},2026-02-02T13:13:21+00:00,2026-04-23T04:52:09+00:00,2,incoming
TFd6EjNcSiZV5FMxTQ8XiQyBwdzNTRZjpA,2,0,"{""TRX"": ""0.000004""}",{},2026-01-16T09:21:27+00:00,2026-02-03T12:26:03+00:00,2,incoming
TGxVDJfRbamCj3nEoBPvEY72rRpk1E4Frv,2,0,"{""TRX"": ""0.002""}",{},2026-01-13T13:51:57+00:00,2026-04-08T15:30:42+00:00,2,incoming
TH4cCFWCL23xaFpybRVtbP1Zwz2ykRA9w5,2,0,"{""USDT"": ""201""}",{},2026-01-01T11:40:09+00:00,2026-01-05T12:09:09+00:00,2,incoming
THE4BSkinxFCqtLmDGxRwn2DFnc2fCSoV8,2,0,"{""TRX"": ""0.000006""}",{},2026-02-02T13:08:42+00:00,2026-06-03T17:41:48+00:00,2,incoming
TJ1JC6nCZwtgUBqdbrRAhfNPL2fQ3SnYsR,2,0,"{""TRX"": ""0.000012""}",{},2026-04-04T11:12:57+00:00,2026-07-25T19:51:39+00:00,2,incoming
TJCDyY2ETdvT1GC7aktDeLCDJzSqQ51w6Q,2,0,"{""TRX"": ""0.000012""}",{},2026-05-18T09:46:00+00:00,2026-07-31T09:48:03+00:00,2,incoming
TJm1vKHiX2Y5K2ndYH4XkLqdkpDm2w18CA,2,0,"{""TRX"": ""0.000016""}",{},2026-04-07T08:12:15+00:00,2026-05-30T13:26:36+00:00,2,incoming
TJwpsAp6GxGUNAaGNVLGivpcV5imnFp3Ka,2,0,"{""TRX"": ""0.000004""}",{},2026-01-24T03:22:30+00:00,2026-02-13T14:04:42+00:00,2,incoming
TK2PtMZTGckkTvoGZyBNRM6ggiNQTTjQvx,0,2,{},"{""USDT"": ""3900""}",2026-02-09T03:23:48+00:00,2026-02-15T03:34:39+00:00,2,outgoing
TL2uZxWaFTkbpK2xi3HaLpYdnqf579N1Zt,2,0,"{""TRX"": ""0.000007""}",{},2026-06-06T06:05:09+00:00,2026-06-09T16:50:48+00:00,2,incoming
TLQrKs94Wk59WAYvH7t7b9JbkCkgd1iNMJ,2,0,"{""TRX"": ""0.000002""}",{},2026-01-21T02:09:39+00:00,2026-01-25T22:50:30+00:00,2,incoming
TLhp6HQS1qznzN7eoST5MYqcrFEWpjozXE,0,2,{},"{""USDT"": ""10000""}",2026-01-26T14:38:30+00:00,2026-05-12T10:55:33+00:00,2,outgoing
TLpfX4CXRLPNy5xK6F2YcXvBcx3BDzoYaZ,2,0,"{""TRX"": ""0.000004""}",{},2026-01-06T12:08:48+00:00,2026-03-06T15:26:39+00:00,2,incoming
TMCfCH33Jhc5Wcx9oUukE7vjCXaMuPcxh4,2,0,"{""TRX"": ""0.000013""}",{},2026-05-16T09:14:15+00:00,2026-05-27T13:59:39+00:00,2,incoming
TMJcK6TgJeYTQbpqCqXjsexLXwwGQqLeWd,2,0,"{""TRX"": ""0.000009""}",{},2026-02-16T11:16:54+00:00,2026-08-03T03:55:15+00:00,2,incoming
TMJcb5gtU9mnmmMFxwKQpYk7LRxKKqyDkQ,2,0,"{""TRX"": ""0.000004""}",{},2026-08-01T07:10:06+00:00,2026-08-02T16:40:42+00:00,2,incoming
TMV97R2zLZ2xAQZm9RrsQCRfuMESCuQ3Ka,2,0,"{""TRX"": ""0.000007""}",{},2026-02-04T15:12:36+00:00,2026-03-02T17:11:48+00:00,2,incoming
TMeMErjZxFvGuJMp3FeoGbpjvWwRWm1JHQ,2,0,"{""TRX"": ""0.000012""}",{},2026-05-27T13:58:39+00:00,2026-06-07T18:05:30+00:00,2,incoming
TN6mNrZucqaL4hpFzBiKM9EtNY221SxTGe,0,2,{},"{""USDT"": ""12500""}",2026-01-14T06:25:45+00:00,2026-01-16T09:30:48+00:00,2,outgoing
TNNaPkhuSzHvPcuDREmXwoddmTXBZitDZt,2,0,"{""TRX"": ""0.000011""}",{},2026-05-31T13:32:00+00:00,2026-06-04T13:25:03+00:00,2,incoming
TNXJULMxhdLy1MUe5Kx9ZNt5uFfq2XVUpa,2,0,"{""USDT"": ""118""}",{},2026-07-06T12:57:24+00:00,2026-07-31T12:29:54+00:00,2,incoming
TQCFwsus88kB66CuCgUNHhweKpUKMrZZ1R,2,0,"{""TRX"": ""0.000004""}",{},2026-05-11T11:13:48+00:00,2026-05-16T12:25:03+00:00,2,incoming
TQwJHjUYGc1VVKYJNvCTWqUJxhb9PohNMJ,2,0,"{""TRX"": ""0.000010""}",{},2026-01-10T10:52:30+00:00,2026-05-12T10:56:42+00:00,2,incoming
